State,Heat,heat_weight,Coastal_Flooding,coastal_flood_weight,Cold_Wave,cold_wave_weight,Wildfire,wildfire_weight,Inland_Flooding,inland_flood_risk,Drought,drought_weight,Hurricane,hurricane_weight,Extreme_Wind,wind_weight,Winter_Storm,winter_storm_weight
FL,0,83.63636364,3,100,0,89.28571429,3,80.39215686,2,92.85714286,0,50.94339623,3,100,1,94.33962264,0,14.28571429
PR,1,0,3,40.54054054,0,0,0,0,3,28.57142857,0,11.32075472,4,95.65217391,0,5.660377358,0,0
LA,0,76.36363636,4,94.59459459,1,66.07142857,0,41.17647059,4,58.92857143,0,83.01886792,4,97.82608696,2,50.94339623,1,21.42857143
DC,1,43.63636364,4,35.13513514,0,21.42857143,0,1.960784314,4,10.71428571,0,0,1,54.34782609,0,18.86792453,1,16.07142857
CO,0,29.09090909,0,0,1,53.57142857,4,96.07843137,4,62.5,1,66.03773585,0,0,0,52.83018868,4,87.5
NY,1,63.63636364,4,78.37837838,0,71.42857143,0,56.8627451,3,89.28571429,0,73.58490566,2,93.47826087,1,71.69811321,1,94.64285714
CT,2,30.90909091,2.5,72.97297297,1,28.57142857,0,9.803921569,2,55.35714286,1,22.64150943,1,71.73913043,1.5,39.62264151,2,26.78571429
OH,1,74.54545455,0,29.72972973,0,78.57142857,0,25.49019608,1,83.92857143,2,49.05660377,0,36.95652174,0,75.47169811,1,78.57142857
CA,1,94.54545455,2,89.18918919,0,12.5,3,100,0,100,1,100,0,8.695652174,0,32.0754717,0,35.71428571
IL,3,90.90909091,1,13.51351351,3,100,0,13.7254902,3,96.42857143,0,88.67924528,0,28.26086957,1,90.56603774,1,80.35714286
NJ,3,87.27272727,4,91.89189189,1,85.71428571,0,21.56862745,4,94.64285714,1,43.39622642,2,80.43478261,1,77.35849057,1,91.07142857
NC,1,81.81818182,4,97.2972973,0,55.35714286,0,54.90196078,2,87.5,1,54.71698113,4,73.91304348,1,100,4,89.28571429
TX,2,98.18181818,4,59.45945946,1,98.21428571,1,84.31372549,3,98.21428571,2,98.11320755,4,91.30434783,1,98.11320755,3,100
