"","State","raw_score","normalized_score"
"1","FL",1121.23037894,0.397182461987717
"2","PR",589.94460297,0.811499229693719
"3","LA",1194.78380438,0.505962783723151
"4","DC",297.4533017,0.367839692564251
"5","CO",1103.9228899,0.616566939931443
"6","NY",998.30451212,0.360140838538051
"7","CT",590.92235924,0.412190640308803
"8","OH",335.15866209,0.157404209032647
"9","CA",672.92383293,0.293740296425989
"10","IL",1046.44968113,0.434254758982319
"11","NJ",1466.36717442,0.544428716491261
"12","NC",1453.51938323,0.523006487682945
"13","TX",1870.9293565,0.566320643557452
